Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et7_eta0.txt,7.8181496,0.99959785,1
rings_data_1_et7_eta0.txt,-18.981205,5.709097e-09,0
rings_data_2_et7_eta0.txt,-31.060047,3.24185e-14,0
rings_data_3_et7_eta0.txt,6.3688183,0.9982887,1
rings_data_4_et7_eta0.txt,7.1573505,0.99922144,1
rings_data_5_et7_eta0.txt,4.405647,0.987939,1
rings_data_6_et7_eta0.txt,-19.865547,2.3577755e-09,0
rings_data_7_et7_eta0.txt,8.463236,0.99978894,1
rings_data_8_et7_eta0.txt,-41.7498,7.3839973e-19,0
rings_data_9_et7_eta0.txt,-27.752575,8.855434e-13,0
rings_data_10_et7_eta0.txt,-17.483412,2.5529996e-08,0
rings_data_11_et7_eta0.txt,7.1086254,0.99918264,1
rings_data_12_et7_eta0.txt,5.381145,0.99541855,1
rings_data_13_et7_eta0.txt,-40.14701,3.667539e-18,0
rings_data_14_et7_eta0.txt,0.8890196,0.70868784,1
rings_data_15_et7_eta0.txt,-32.01591,1.2464258e-14,0
rings_data_16_et7_eta0.txt,8.502866,0.99979717,1
rings_data_17_et7_eta0.txt,-29.209442,2.0630057e-13,0
rings_data_18_et7_eta0.txt,-39.297474,8.5767736e-18,0
rings_data_19_et7_eta0.txt,7.9829755,0.99965894,1
