Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et7_eta1.txt,2.860482,0.94585794,1
rings_data_1_et7_eta1.txt,-19.748842,2.6496394e-09,0
rings_data_2_et7_eta1.txt,-18.130232,1.3370274e-08,0
rings_data_3_et7_eta1.txt,7.8256016,0.9996008,1
rings_data_4_et7_eta1.txt,8.670802,0.99982846,1
rings_data_5_et7_eta1.txt,7.596451,0.999498,1
rings_data_6_et7_eta1.txt,-8.828872,0.00014642194,0
rings_data_7_et7_eta1.txt,5.325467,0.9951574,1
rings_data_8_et7_eta1.txt,-15.22693,2.4379702e-07,0
rings_data_9_et7_eta1.txt,-12.369162,4.2475604e-06,0
rings_data_10_et7_eta1.txt,-14.305837,6.124263e-07,0
rings_data_11_et7_eta1.txt,5.36837,0.99535996,1
rings_data_12_et7_eta1.txt,5.7444882,0.9968098,1
rings_data_13_et7_eta1.txt,-11.6008005,9.158669e-06,0
rings_data_14_et7_eta1.txt,4.8593845,0.9923044,1
rings_data_15_et7_eta1.txt,-14.978436,3.125702e-07,0
rings_data_16_et7_eta1.txt,6.2273436,0.9980292,1
rings_data_17_et7_eta1.txt,-16.056372,1.0636686e-07,0
rings_data_18_et7_eta1.txt,-14.114485,7.41578e-07,0
rings_data_19_et7_eta1.txt,5.2426043,0.9947413,1
