Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et4_eta0.txt,3.7093716,0.9760927,1
rings_data_1_et4_eta0.txt,-7.4117203,0.0006037658,0
rings_data_2_et4_eta0.txt,-10.30532,3.3453533e-05,0
rings_data_3_et4_eta0.txt,3.445578,0.969099,1
rings_data_4_et4_eta0.txt,4.404533,0.98792577,1
rings_data_5_et4_eta0.txt,6.586902,0.9986236,1
rings_data_6_et4_eta0.txt,-11.973138,6.3114553e-06,0
rings_data_7_et4_eta0.txt,6.359361,0.99827254,1
rings_data_8_et4_eta0.txt,-11.723949,8.097481e-06,0
rings_data_9_et4_eta0.txt,-9.391453,8.34272e-05,0
rings_data_10_et4_eta0.txt,-11.429362,1.0871421e-05,0
rings_data_11_et4_eta0.txt,5.814423,0.9970247,1
rings_data_12_et4_eta0.txt,5.608196,0.9963457,1
rings_data_13_et4_eta0.txt,-8.144861,0.0002901387,0
rings_data_14_et4_eta0.txt,6.2605624,0.9980934,1
rings_data_15_et4_eta0.txt,-11.954301,6.4314704e-06,0
rings_data_16_et4_eta0.txt,5.3541856,0.9952939,1
rings_data_17_et4_eta0.txt,2.9276404,0.949196,1
rings_data_18_et4_eta0.txt,-13.56326,1.2869168e-06,0
rings_data_19_et4_eta0.txt,5.178313,0.99439406,1
