Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et3_eta1.txt,3.5975096,0.9733384,1
rings_data_1_et3_eta1.txt,-4.91848,0.007257183,0
rings_data_2_et3_eta1.txt,-9.608512,6.715017e-05,0
rings_data_3_et3_eta1.txt,1.7878101,0.8566586,1
rings_data_4_et3_eta1.txt,4.514537,0.9891699,1
rings_data_5_et3_eta1.txt,4.070945,0.983225,1
rings_data_6_et3_eta1.txt,-10.795288,2.0495432e-05,0
rings_data_7_et3_eta1.txt,4.6397586,0.99043244,1
rings_data_8_et3_eta1.txt,-5.046886,0.006388251,0
rings_data_9_et3_eta1.txt,-7.5819044,0.0005093303,0
rings_data_10_et3_eta1.txt,-13.939185,8.8366664e-07,0
rings_data_11_et3_eta1.txt,5.9332433,0.9973571,1
rings_data_12_et3_eta1.txt,3.7159827,0.9762464,1
rings_data_13_et3_eta1.txt,-6.7853603,0.0011289245,0
rings_data_14_et3_eta1.txt,0.6374129,0.65416837,1
rings_data_15_et3_eta1.txt,-5.908614,0.0027085918,0
rings_data_16_et3_eta1.txt,2.6451662,0.9337124,1
rings_data_17_et3_eta1.txt,-5.748903,0.0031761546,0
rings_data_18_et3_eta1.txt,-9.481105,7.62738e-05,0
rings_data_19_et3_eta1.txt,5.317297,0.995118,1
