Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et6_eta1.txt,4.012699,0.98223674,1
rings_data_1_et6_eta1.txt,5.0396886,0.99356586,1
rings_data_2_et6_eta1.txt,-31.970459,1.3043859e-14,0
rings_data_3_et6_eta1.txt,5.0082912,0.99336207,1
rings_data_4_et6_eta1.txt,5.459799,0.99576354,1
rings_data_5_et6_eta1.txt,6.8178296,0.9989071,1
rings_data_6_et6_eta1.txt,-12.916886,2.4562157e-06,0
rings_data_7_et6_eta1.txt,6.7458925,0.9988257,1
rings_data_8_et6_eta1.txt,-31.32708,2.4821164e-14,0
rings_data_9_et6_eta1.txt,-11.000457,1.6693793e-05,0
rings_data_10_et6_eta1.txt,-31.129536,3.0242275e-14,0
rings_data_11_et6_eta1.txt,4.604644,0.9900939,1
rings_data_12_et6_eta1.txt,4.975807,0.9931444,1
rings_data_13_et6_eta1.txt,-3.5511184,0.027892236,0
rings_data_14_et6_eta1.txt,5.456232,0.9957486,1
rings_data_15_et6_eta1.txt,-11.3124,1.2220301e-05,0
rings_data_16_et6_eta1.txt,6.8733826,0.9989661,1
rings_data_17_et6_eta1.txt,-23.011303,1.0146543e-10,0
rings_data_18_et6_eta1.txt,-20.601852,1.1290916e-09,0
rings_data_19_et6_eta1.txt,5.392373,0.99546945,1
