Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et5_eta0.txt,5.300073,0.9950336,1
rings_data_1_et5_eta0.txt,-10.273866,3.452247e-05,0
rings_data_2_et5_eta0.txt,-10.757851,2.1277254e-05,0
rings_data_3_et5_eta0.txt,7.774199,0.9995797,1
rings_data_4_et5_eta0.txt,4.1168528,0.98396564,1
rings_data_5_et5_eta0.txt,9.27086,0.9999058,1
rings_data_6_et5_eta0.txt,-10.724514,2.1998505e-05,0
rings_data_7_et5_eta0.txt,6.097977,0.9977576,1
rings_data_8_et5_eta0.txt,-13.197296,1.8556084e-06,0
rings_data_9_et5_eta0.txt,-15.291228,2.2861454e-07,0
rings_data_10_et5_eta0.txt,-14.459246,5.2532636e-07,0
rings_data_11_et5_eta0.txt,7.1216416,0.99919325,1
rings_data_12_et5_eta0.txt,7.282582,0.9993131,1
rings_data_13_et5_eta0.txt,-15.298708,2.2691096e-07,0
rings_data_14_et5_eta0.txt,5.0321403,0.9935175,1
rings_data_15_et5_eta0.txt,-1.2829086,0.21705554,0
rings_data_16_et5_eta0.txt,7.997991,0.99966395,1
rings_data_17_et5_eta0.txt,-14.315666,6.064359e-07,0
rings_data_18_et5_eta0.txt,-14.386147,5.651656e-07,0
rings_data_19_et5_eta0.txt,6.7009654,0.9987717,1
