Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et5_eta1.txt,4.7547855,0.9914631,1
rings_data_1_et5_eta1.txt,-15.634661,1.6216349e-07,0
rings_data_2_et5_eta1.txt,-22.240955,2.1921781e-10,0
rings_data_3_et5_eta1.txt,2.526636,0.92598814,1
rings_data_4_et5_eta1.txt,6.1664176,0.9979056,1
rings_data_5_et5_eta1.txt,4.9295125,0.9928219,1
rings_data_6_et5_eta1.txt,-33.666313,2.3927978e-15,0
rings_data_7_et5_eta1.txt,5.1150293,0.9940301,1
rings_data_8_et5_eta1.txt,0.15314454,0.53821146,1
rings_data_9_et5_eta1.txt,-26.218012,4.1082996e-12,0
rings_data_10_et5_eta1.txt,-19.331764,4.020883e-09,0
rings_data_11_et5_eta1.txt,5.300622,0.9950363,1
rings_data_12_et5_eta1.txt,5.52869,0.9960445,1
rings_data_13_et5_eta1.txt,-29.210768,2.060273e-13,0
rings_data_14_et5_eta1.txt,5.311601,0.9950901,1
rings_data_15_et5_eta1.txt,-10.436501,2.934085e-05,0
rings_data_16_et5_eta1.txt,5.6698675,0.9965635,1
rings_data_17_et5_eta1.txt,-16.245724,8.8018055e-08,0
rings_data_18_et5_eta1.txt,-10.43298,2.9444334e-05,0
rings_data_19_et5_eta1.txt,5.2055984,0.99454415,1
