Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et4_eta1.txt,4.5293264,0.9893272,1
rings_data_1_et4_eta1.txt,-11.602865,9.139779e-06,0
rings_data_2_et4_eta1.txt,-14.7152405,4.066793e-07,0
rings_data_3_et4_eta1.txt,4.208295,0.9853462,1
rings_data_4_et4_eta1.txt,4.501193,0.989026,1
rings_data_5_et4_eta1.txt,5.024946,0.993471,1
rings_data_6_et4_eta1.txt,-22.447496,1.783102e-10,0
rings_data_7_et4_eta1.txt,6.6119785,0.9986576,1
rings_data_8_et4_eta1.txt,-4.861097,0.0076825093,0
rings_data_9_et4_eta1.txt,-8.316467,0.0002443982,0
rings_data_10_et4_eta1.txt,-6.168461,0.0020900795,0
rings_data_11_et4_eta1.txt,5.4399133,0.99567896,1
rings_data_12_et4_eta1.txt,3.25872,0.96298516,1
rings_data_13_et4_eta1.txt,-3.9399185,0.019078722,0
rings_data_14_et4_eta1.txt,5.31214,0.99509287,1
rings_data_15_et4_eta1.txt,-2.011398,0.118011385,0
rings_data_16_et4_eta1.txt,4.1248937,0.9840919,1
rings_data_17_et4_eta1.txt,-8.616104,0.00018113187,0
rings_data_18_et4_eta1.txt,-23.282766,7.734337e-11,0
rings_data_19_et4_eta1.txt,4.3667903,0.9874672,1
