Arquivo,Saída_Linear,Saída_Sigmoide,Classe_Predita
rings_data_0_et6_eta0.txt,8.814674,0.99985147,1
rings_data_1_et6_eta0.txt,-12.331605,4.410117e-06,0
rings_data_2_et6_eta0.txt,-14.421569,5.454965e-07,0
rings_data_3_et6_eta0.txt,5.808684,0.99700767,1
rings_data_4_et6_eta0.txt,8.656865,0.99982613,1
rings_data_5_et6_eta0.txt,6.0111427,0.9975547,1
rings_data_6_et6_eta0.txt,-15.547204,1.769844e-07,0
rings_data_7_et6_eta0.txt,6.972403,0.99906355,1
rings_data_8_et6_eta0.txt,-19.07598,5.1928706e-09,0
rings_data_9_et6_eta0.txt,-18.360214,1.0623319e-08,0
rings_data_10_et6_eta0.txt,-20.850609,8.8043156e-10,0
rings_data_11_et6_eta0.txt,9.693822,0.99993837,1
rings_data_12_et6_eta0.txt,4.2791653,0.98633504,1
rings_data_13_et6_eta0.txt,-19.536985,3.2748775e-09,0
rings_data_14_et6_eta0.txt,1.8269495,0.8613979,1
rings_data_15_et6_eta0.txt,-13.657521,1.1711523e-06,0
rings_data_16_et6_eta0.txt,6.5244966,0.99853504,1
rings_data_17_et6_eta0.txt,-19.859392,2.3723326e-09,0
rings_data_18_et6_eta0.txt,-23.285994,7.709416e-11,0
rings_data_19_et6_eta0.txt,6.6856313,0.99875283,1
